,cape_pctl,real_rate,cape_zone,rate_regime,signal,signal_numeric
2012-06-30,28.25278810408922,-0.45999999999999996,low,negative,GREEN,0
2012-07-31,32.22222222222222,-0.6900000000000002,low,negative,GREEN,0
2012-08-31,36.53136531365313,-0.6799999999999999,low,negative,GREEN,0
2012-09-30,38.23529411764706,-0.77,low,negative,GREEN,0
2012-10-31,37.362637362637365,-0.78,low,negative,GREEN,0
2012-11-30,30.656934306569344,-0.79,low,negative,GREEN,0
2012-12-31,33.81818181818182,-0.6700000000000002,low,negative,GREEN,0
2013-01-31,40.21739130434783,-0.5699999999999998,low,negative,GREEN,0
2013-02-28,40.794223826714806,-0.6399999999999999,low,negative,GREEN,0
2013-03-31,42.086330935251794,-0.6399999999999997,low,negative,GREEN,0
2013-04-30,43.727598566308245,-0.6399999999999999,low,negative,GREEN,0
2013-05-31,47.5,-0.04999999999999982,low,negative,GREEN,0
2013-06-30,44.83985765124555,0.53,low,low,GREEN,0
2013-07-31,48.93617021276596,0.3799999999999999,low,low,GREEN,0
2013-08-31,47.349823321554766,0.6799999999999997,low,low,GREEN,0
2013-09-30,47.183098591549296,0.4500000000000002,low,low,GREEN,0
2013-10-31,51.578947368421055,0.3999999999999999,low,low,GREEN,0
2013-11-30,53.14685314685315,0.6000000000000001,low,low,GREEN,0
2013-12-31,55.052264808362374,0.7999999999999998,low,low,GREEN,0
2014-01-31,54.861111111111114,0.5299999999999998,low,low,GREEN,0
2014-02-28,52.595155709342556,0.4900000000000002,low,low,GREEN,0
2014-03-31,56.55172413793104,0.6000000000000001,low,low,GREEN,0
2014-04-30,53.608247422680414,0.48999999999999977,low,low,GREEN,0
2014-05-31,54.794520547945204,0.2599999999999998,low,low,GREEN,0
2014-06-30,59.72696245733788,0.27,low,low,GREEN,0
2014-07-31,63.26530612244898,0.29000000000000004,medium,low,YELLOW,1
2014-08-31,59.32203389830508,0.22999999999999998,low,low,GREEN,0
2014-09-30,63.85135135135135,0.55,medium,low,YELLOW,1
2014-10-31,56.9023569023569,0.43000000000000016,low,low,GREEN,0
2014-11-30,71.47651006711409,0.3900000000000001,medium,low,YELLOW,1
2014-12-31,72.90969899665552,0.49,medium,low,YELLOW,1
2015-01-31,69.66666666666667,0.030000000000000027,medium,low,YELLOW,1
2015-02-28,74.08637873754152,0.16999999999999993,medium,low,YELLOW,1
2015-03-31,71.8543046357616,0.17999999999999994,medium,low,YELLOW,1
2015-04-30,72.60726072607261,0.10999999999999988,medium,low,YELLOW,1
2015-05-31,72.36842105263158,0.32000000000000006,medium,low,YELLOW,1
2015-06-30,68.52459016393443,0.48,medium,low,YELLOW,1
2015-07-31,67.3202614379085,0.4600000000000002,medium,low,YELLOW,1
2015-08-31,58.63192182410424,0.5800000000000001,low,low,GREEN,0
2015-09-30,49.35064935064935,0.6500000000000001,low,low,GREEN,0
2015-10-31,57.28155339805825,0.6300000000000001,low,low,GREEN,0
2015-11-30,65.16129032258064,0.6199999999999999,medium,low,YELLOW,1
2015-12-31,63.022508038585215,0.73,medium,low,YELLOW,1
2016-01-31,48.3974358974359,0.53,low,low,GREEN,0
2016-02-29,47.6038338658147,0.32000000000000006,low,low,GREEN,0
2016-03-31,55.73248407643312,0.15999999999999992,low,low,GREEN,0
2016-04-30,62.22222222222222,0.1200000000000001,medium,low,YELLOW,1
2016-05-31,58.54430379746836,0.30000000000000004,low,low,GREEN,0
2016-06-30,61.51419558359621,0.09000000000000008,medium,low,YELLOW,1
2016-07-31,72.32704402515722,-0.030000000000000027,medium,negative,YELLOW,1
2016-08-31,75.23510971786834,0.1100000000000001,medium,low,YELLOW,1
2016-09-30,71.875,0.0,medium,low,YELLOW,1
2016-10-31,68.84735202492212,0.1100000000000001,medium,low,YELLOW,1
2016-11-30,74.22360248447205,0.43000000000000016,medium,low,YELLOW,1
2016-12-31,80.4953560371517,0.5000000000000002,high,low,ORANGE,2
2017-01-31,80.55555555555556,0.40000000000000036,high,low,ORANGE,2
2017-02-28,81.53846153846153,0.33999999999999986,high,low,ORANGE,2
2017-03-31,82.20858895705521,0.42999999999999994,high,low,ORANGE,2
2017-04-30,81.65137614678899,0.3700000000000001,high,low,ORANGE,2
2017-05-31,82.6219512195122,0.3999999999999999,high,low,ORANGE,2
2017-06-30,82.97872340425532,0.5800000000000001,high,low,ORANGE,2
2017-07-31,83.33333333333334,0.47999999999999976,high,low,ORANGE,2
2017-08-31,82.77945619335347,0.3600000000000001,high,low,ORANGE,2
2017-09-30,83.73493975903614,0.49,high,low,ORANGE,2
2017-10-31,84.68468468468468,0.5,high,low,ORANGE,2
2017-11-30,84.73053892215569,0.5599999999999998,high,low,ORANGE,2
2017-12-31,85.37313432835822,0.43999999999999995,high,low,ORANGE,2
2018-01-31,88.69047619047619,0.6100000000000003,high,low,ORANGE,2
2018-02-28,84.86646884272997,0.75,high,low,ORANGE,2
2018-03-31,84.61538461538461,0.6900000000000004,high,low,ORANGE,2
2018-04-30,83.48082595870207,0.7800000000000002,high,low,ORANGE,2
2018-05-31,83.52941176470588,0.7600000000000002,high,low,ORANGE,2
2018-06-30,84.4574780058651,0.7400000000000002,high,low,ORANGE,2
2018-07-31,84.7953216374269,0.8399999999999999,high,low,ORANGE,2
2018-08-31,86.58892128279884,0.7799999999999998,high,low,ORANGE,2
2018-09-30,86.62790697674419,0.9099999999999997,high,low,ORANGE,2
2018-10-31,82.02898550724638,1.1,high,low,ORANGE,2
2018-11-30,80.34682080924856,1.0399999999999998,high,low,ORANGE,2
2018-12-31,75.79250720461094,0.98,medium,low,YELLOW,1
2019-01-31,76.14942528735632,0.7799999999999998,medium,low,YELLOW,1
2019-02-28,78.79656160458453,0.78,medium,low,YELLOW,1
2019-03-31,78.85714285714286,0.5300000000000002,medium,low,YELLOW,1
2019-04-30,80.34188034188034,0.5599999999999998,high,low,ORANGE,2
2019-05-31,77.55681818181817,0.40000000000000013,medium,low,YELLOW,1
2019-06-30,77.62039660056658,0.31000000000000005,medium,low,YELLOW,1
2019-07-31,79.66101694915254,0.26,medium,low,YELLOW,1
2019-08-31,75.21126760563381,-0.050000000000000044,medium,negative,YELLOW,1
2019-09-30,76.96629213483146,0.1499999999999999,medium,low,YELLOW,1
2019-10-31,75.35014005602241,0.1499999999999999,medium,low,YELLOW,1
2019-11-30,78.77094972067039,0.16999999999999993,medium,low,YELLOW,1
2019-12-31,81.33704735376045,0.1499999999999999,high,low,ORANGE,2
2020-01-31,82.5,-0.1399999999999999,high,negative,YELLOW,1
2020-02-29,81.99445983379502,-0.28,high,negative,YELLOW,1
2020-03-31,43.92265193370166,-0.17000000000000004,low,negative,GREEN,0
2020-04-30,54.82093663911846,-0.43000000000000005,low,negative,GREEN,0
2020-05-31,68.68131868131869,-0.4999999999999999,medium,negative,YELLOW,1
2020-06-30,74.52054794520548,-0.68,medium,negative,YELLOW,1
2020-07-31,77.8688524590164,-1.0,medium,negative,YELLOW,1
2020-08-31,83.37874659400545,-1.08,high,negative,YELLOW,1
2020-09-30,82.06521739130434,-0.94,high,negative,YELLOW,1
2020-10-31,83.73983739837398,-0.82,high,negative,YELLOW,1
2020-11-30,87.29729729729729,-0.93,high,negative,YELLOW,1
2020-12-31,90.02695417789758,-1.06,extreme,negative,ORANGE,2
2021-01-31,90.59139784946237,-1.0199999999999998,extreme,negative,ORANGE,2
2021-02-28,90.88471849865952,-0.71,extreme,negative,ORANGE,2
2021-03-31,90.64171122994652,-0.6300000000000001,extreme,negative,ORANGE,2
2021-04-30,91.73333333333333,-0.7600000000000002,extreme,negative,ORANGE,2
2021-05-31,91.48936170212765,-0.8399999999999999,extreme,negative,ORANGE,2
2021-06-30,91.51193633952255,-0.8699999999999999,extreme,negative,ORANGE,2
2021-07-31,93.12169312169311,-1.16,extreme,negative,ORANGE,2
2021-08-31,93.40369393139841,-1.03,extreme,negative,ORANGE,2
2021-09-30,93.15789473684211,-0.8500000000000001,extreme,negative,ORANGE,2
2021-10-31,91.86351706036746,-0.9599999999999997,extreme,negative,ORANGE,2
2021-11-30,93.717277486911,-1.07,extreme,negative,ORANGE,2
2021-12-31,93.21148825065274,-1.04,extreme,negative,ORANGE,2
2022-01-31,90.625,-0.6499999999999999,extreme,negative,ORANGE,2
2022-02-28,88.57142857142857,-0.79,high,negative,YELLOW,1
2022-03-31,87.30569948186529,-0.52,high,negative,YELLOW,1
2022-04-30,86.82170542635659,0.010000000000000231,high,low,ORANGE,2
2022-05-31,77.57731958762886,0.20999999999999996,medium,low,YELLOW,1
2022-06-30,71.2082262210797,0.6499999999999999,medium,low,YELLOW,1
2022-07-31,70.76923076923077,0.14000000000000012,medium,low,YELLOW,1
2022-08-31,77.49360613810742,0.6699999999999999,medium,low,YELLOW,1
2022-09-30,67.85714285714286,1.6800000000000002,medium,high,ORANGE,2
2022-10-31,63.104325699745544,1.5799999999999996,medium,high,ORANGE,2
2022-11-30,68.52791878172589,1.3400000000000003,medium,low,YELLOW,1
2022-12-31,67.84810126582278,1.58,medium,high,ORANGE,2
2023-01-31,67.67676767676768,1.2799999999999998,medium,low,YELLOW,1
2023-02-28,70.52896725440806,1.4899999999999998,medium,low,YELLOW,1
2023-03-31,66.33165829145729,1.1600000000000001,medium,low,YELLOW,1
2023-04-30,69.67418546365914,1.2599999999999998,medium,low,YELLOW,1
2023-05-31,69.5,1.46,medium,low,YELLOW,1
2023-06-30,74.81296758104739,1.5899999999999999,medium,high,ORANGE,2
2023-07-31,78.85572139303483,1.6,medium,high,ORANGE,2
2023-08-31,76.67493796526055,1.8499999999999996,medium,high,ORANGE,2
2023-09-30,73.76237623762376,2.2399999999999998,medium,high,ORANGE,2
2023-10-31,68.64197530864197,2.46,medium,high,ORANGE,2
2023-11-30,75.1231527093596,2.14,medium,high,ORANGE,2
2023-12-31,81.57248157248156,1.7199999999999998,high,high,RED,3
2024-01-31,82.59803921568627,1.7300000000000004,high,high,RED,3
2024-02-29,85.81907090464547,1.92,high,high,RED,3
2024-03-31,86.82926829268293,1.8800000000000003,high,high,RED,3
2024-04-30,85.88807785888078,2.2800000000000002,high,high,RED,3
2024-05-31,86.6504854368932,2.1599999999999997,high,high,RED,3
2024-06-30,88.61985472154964,2.0800000000000005,high,high,RED,3
2024-07-31,89.3719806763285,1.8499999999999996,high,high,RED,3
2024-08-31,88.43373493975903,1.7600000000000002,high,high,RED,3
2024-09-30,89.66346153846155,1.63,high,high,RED,3
2024-10-31,90.16786570743405,1.9500000000000002,extreme,high,RED,3
2024-11-30,92.58373205741627,1.92,extreme,high,RED,3
2024-12-31,93.31742243436753,2.24,extreme,high,RED,3
2025-01-31,91.42857142857143,2.16,extreme,high,RED,3
2025-02-28,91.44893111638956,1.8600000000000003,extreme,high,RED,3
2025-03-31,86.7298578199052,1.8500000000000005,high,high,RED,3
2025-04-30,81.56028368794325,1.94,high,high,RED,3
2025-05-31,87.5,2.0700000000000003,high,high,RED,3
2025-06-30,88.94117647058823,1.9500000000000002,high,high,RED,3
2025-07-31,92.95774647887323,1.98,extreme,high,RED,3
2025-08-31,93.44262295081968,1.8200000000000003,extreme,high,RED,3
2025-09-30,94.1588785046729,1.8000000000000003,extreme,high,RED,3
2025-10-31,94.87179487179486,1.8100000000000005,extreme,high,RED,3
2025-11-30,94.65116279069767,1.7899999999999996,extreme,high,RED,3
2025-12-31,95.1276102088167,1.94,extreme,high,RED,3
